,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
86,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R73700X8核16线程【三代】盒装,53792649059,智中和电脑配件专营店,1.6kg,AMD,X570，B450,,X570，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,发烧/超频,3.6,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,16线程,发烧/超频,,,,
87,AMDR55600X5600GR75800X5700G盒装搭微星B550CPU主板套装微星B550MMORTARWIFIAMDRyzen55600X盒装,10024007345685,微星电脑硬件旗舰店,2.0kg,AMD,X570,,,,ATX（标准型）,锐龙7,2kg,200,,,,,,,,,,,,,,,,,,
88,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
89,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
90,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
91,英特尔(Intel)I710700F\/11700F\/11700K主板CPU套餐板U套装华硕TUFB560M-PLUS重炮手套装I7-10700默认升级I7-11700,69858513940,瑞达中腾官方旗舰店,15.0kg,英特尔(Intel),B560,,,,ATX（标准型）,Inteli7,1kg,ATX（标准型）,,,,,,,,,,,,,,,,,,
92,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
93,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
94,英特尔（Intel）酷睿i5,69392617566,海晨数码专营店,500.00g,英特尔(Intel),intel其他,,,INTELLGA1200,MINI-ITX（迷你型）,Inteli5,1.35kg,30*30,,,,,,,,,,,中国大陆,,,,,,,
95,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
96,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
97,英特尔（Intel）酷睿i5,69392617566,海晨数码专营店,500.00g,英特尔(Intel),intel其他,,,INTELLGA1200,MINI-ITX（迷你型）,Inteli5,1.35kg,30*30,,,,,,,,,,,中国大陆,,,,,,,
98,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
99,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
100,英特尔（Intel）酷睿i910900K/10900KF/11900K盒装主板CPU套餐板U套装全新盒装单CPU三年换新I9-11900/8核16线程（11代）,70944227920,瑞达中腾官方旗舰店,15.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,15kg,350*250*100,,,,,,,,,,,,,,,,,,
101,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
102,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
103,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,,,
104,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
105,英特尔i7-11700,100018204790,,325.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
106,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
107,英特尔(Intel)I710700F\/11700F\/11700K主板CPU套餐板U套装华硕TUFB560M-PLUS重炮手套装I7-10700默认升级I7-11700,69858513940,瑞达中腾官方旗舰店,15.0kg,英特尔(Intel),B560,,,,ATX（标准型）,Inteli7,1kg,ATX（标准型）,,,,,,,,,,,,,,,,,,
108,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
109,英特尔i7-11700,100018204790,,325.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
110,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
111,英特尔i5-11600KF,100018204760,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,不带风扇,不支持核显,家用/办公,3.90GHz,其他,125W,马来西亚/越南/中国大陆,,12线程,家用/办公,,,,
112,英特尔(Intel)I710700F\/11700F\/11700K主板CPU套餐板U套装华硕TUFB560M-PLUS重炮手套装I7-10700默认升级I7-11700,69858513940,瑞达中腾官方旗舰店,15.0kg,英特尔(Intel),B560,,,,ATX（标准型）,Inteli7,1kg,ATX（标准型）,,,,,,,,,,,,,,,,,,
113,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
114,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400F【无核显6核12线程】,10028928618781,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,,2.9,其他,65W,,,12线程,,,,,
115,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
116,英特尔（Intel）酷睿i910900K/10900KF/11900K盒装主板CPU套餐板U套装全新盒装单CPU三年换新I9-11900/8核16线程（11代）,70944227920,瑞达中腾官方旗舰店,15.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,15kg,350*250*100,,,,,,,,,,,,,,,,,,
117,英特尔i7-11700,100018204790,,325.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
118,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
119,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
120,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
121,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装I510600KF6核12线程,45171232729,智中和电脑配件专营店,200.00g,英特尔(Intel),Z490，H410，B460,Z490，H410，B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,不带风扇,不支持核显,发烧/超频,4.1GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,12线程,发烧/超频,,,,
122,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400【有核显6核12线程】,10030913101748,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,支持核显,,2.9,其他,65W,,,,,,,,
123,英特尔（Intel）i79700K酷睿八核盒装CPU处理器中文原盒三年质保官方标配,35746089017,恒懿电脑专营店,2.0kg,英特尔(Intel),,,,INTEL1151（九代）,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,,3.6GHZ,其他,95W,,,,,,,,
124,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装Z590M板U套装i7117002.5GHz8核16线程,53209191625,灵竞DIY旗舰店,0.9kg,英特尔(Intel),Z590,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
125,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400F【无核显6核12线程】,10028928618781,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,,2.9,其他,65W,,,12线程,,,,,
126,英特尔i3-10100F,100008667325,,270.00g,英特尔(Intel),H410,H410,,INTELLGA1200,,英特尔,,,四核,14纳米,3年质保,酷睿i3,带风扇,不支持核显,家用/办公,3.60GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,,,
127,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400【有核显6核12线程】,10030913101748,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,支持核显,,2.9,其他,65W,,,,,,,,
128,AMDR53500X36005600G5600X盒装/散片搭技嘉B550主板CPU套装B550MAORUSELITEAMDRyzen55600X盒装,10032426172728,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,26*24*5mm,,,,,,,,,,,中国大陆,,,,,,,
129,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
130,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,,,
131,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
132,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400【有核显6核12线程】,10030913101748,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,支持核显,,2.9,其他,65W,,,,,,,,
133,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
134,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
135,AMDR5/R736005600X5700G5800X搭微星B450B550主板CPU套装华硕GAMINGB550M-PLUSWIFIR55600X套装,10036081558709,英强科技专营店,2.0kg,AMD,B450,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2kg,*,,,,,,,,,,,,,,,,,,
136,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
137,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装Z590M板U套装i7117002.5GHz8核16线程,53209191625,灵竞DIY旗舰店,0.9kg,英特尔(Intel),Z590,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
138,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400【有核显6核12线程】,10030913101748,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,支持核显,,2.9,其他,65W,,,,,,,,
139,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400F【无核显6核12线程】,10028928618781,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,,2.9,其他,65W,,,12线程,,,,,
140,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
141,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
142,AMDR5/R736005600X5700G5800X搭微星B450B550主板CPU套装华硕GAMINGB550M-PLUSWIFIR55600X套装,10036081558709,英强科技专营店,2.0kg,AMD,B450,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2kg,*,,,,,,,,,,,,,,,,,,
143,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
144,AMDR5/R736005600X5700G5800X搭微星B450B550主板CPU套装华硕GAMINGB550M-PLUSWIFIR55600X套装,10036081558709,英强科技专营店,2.0kg,AMD,B450,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2kg,*,,,,,,,,,,,,,,,,,,
145,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
146,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
147,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
148,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,3年质保,,
149,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
150,AMDR55600X5600GR75800X5700G盒装搭微星B550CPU主板套装微星B550MMORTARWIFIAMDRyzen55600X盒装,10024007345685,微星电脑硬件旗舰店,2.0kg,AMD,X570,,,,ATX（标准型）,锐龙7,2kg,200,,,,,,,,,,,,,,,,,,
151,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i510500六核十二线程,50884711259,智中和电脑配件专营店,200.00g,英特尔(Intel),Z490，H410，B460,Z490，H410，B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,支持核显,游戏/影音,3.1GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,12线程,游戏/影音,,3年质保,,
152,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
153,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
154,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
155,AMD锐龙75800X处理器,100009085723,,120.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R7,不带风扇,不支持核显,游戏/影音,3.8GHz,32MB,105W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,4MB,3年质保,,
156,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
157,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,3年质保,,
158,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
159,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
160,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
161,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
162,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550技嘉B550MHAMDRyzen55600G盒装,10035072170442,爵扬旗舰店,1.5kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
163,AMD锐龙75800X处理器,100009085723,,120.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R7,不带风扇,不支持核显,游戏/影音,3.8GHz,32MB,105W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,4MB,3年质保,,
164,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
165,英特尔十一代酷睿i911900K11600KF11700K华硕主板CPU套装【高达主板】Z590WiFiGUNDAMi9-11900K,10034253635888,英特尔解决方案官方旗舰店,2.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,1kg,400,,,,,,,,,,,,,,,,,,
166,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,3年质保,,
167,英特尔十一代酷睿i911900K11600KF11700K华硕主板CPU套装【电竞WIFI6E】590-EWIFIi9-11900K,10027865196406,英特尔解决方案官方旗舰店,2.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,1kg,400,,,,,,,,,,,,,,,,,,
168,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
169,华硕华硕PRIMEH510M-A主板+英特尔(Intel)i3-10105F酷睿CPU处理器板U套装CPU主板套装,100021586518,,1.5kg,英特尔(Intel),H510,,,INTELLGA1200,M-ATX（紧凑型）,Inteli3,0kg,0,,,,,,,,,,,中国大陆,,,,,,,
170,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
171,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,3年质保,,
172,英特尔十一代酷睿i911900K11600KF11700K华硕主板CPU套装【高达主板】Z590WiFiGUNDAMi9-11900K,10034253635888,英特尔解决方案官方旗舰店,2.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,1kg,400,,,,,,,,,,,,,,,,,,
173,华硕华硕PRIMEH510M-A主板+英特尔(Intel)i3-10105F酷睿CPU处理器板U套装CPU主板套装,100021586518,,1.5kg,英特尔(Intel),H510,,,INTELLGA1200,M-ATX（紧凑型）,Inteli3,0kg,0,,,,,,,,,,,中国大陆,,,,,,,
174,英特尔（Intel）37.5mmx37.5mm,10023112411032,华之硕电脑专营店,270.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,双核,14纳米,,奔腾,带风扇,支持核显,,4.00GHz,其他,45W,,,,,,3年质保,,
175,AMD锐龙RyzenR32200gR52400g2600X2700XCPU处理器散片标配,10035931679938,中盛车品优创店,1.0kg,AMD,,,,,,,,,,,,2600,,,,,,,,,,,,,卡通,
