,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
10,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
11,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,,,
12,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
13,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
14,AMD5600X、5800X、5900X，5950X,10037793912879,锐星电脑DIY旗舰店,1.0kg,AMD,X570,,,AMDAM4,ATX（标准型）,锐龙9,1.5kg,300*300*200,,,,,,,,,,,,,,,,,,
15,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
16,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
17,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
18,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
19,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
20,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
21,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
22,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
23,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
24,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
25,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
26,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
27,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
28,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
29,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装B560MH板U套装i711700F2.5GHz8核16线程,54272060290,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B560,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
30,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
31,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,,,
32,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
