,商品名称,商品编号,商品毛重,商品产地,型号,体型,机箱类型,支持主板,固态硬盘位,音频接口,硬盘位,光驱位,面板接口,箱体净重(kg),CPU散热器限高,材质,箱体长宽高（mm）,显卡（连供电头总长度）限长,标配风扇数,风扇位,水冷类型,机箱重量,颜色,品牌,电源位置,电源类型,店铺,RGB光控,导风管,标配电源,静音棉,高达/变形种类,外观造型,货号
23,安钛克DA601复仇者X,100002404996,9.66kg,中国大陆,复仇者,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,HD；1个耳机接口；1个麦克风接口,4个,0,USB3.0x2，MIC/AUDIO，开关键，重启键，ARGB控制按钮,7.8,165mm,钢化玻璃；SPCC钢材,480*220*500,≤40cm,2个,7个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,,不带电源,,,,,,,,
24,酷冷至尊主机箱mb520ATX侧透明中塔风冷水冷防尘电脑台式游戏电竞旋风MB511玻璃侧板支持长显卡,10038874533619,6.35kg,,旋风MB520,中型机箱（中塔机箱）,玻璃侧透机箱，静音机箱，复古机箱（带光驱位）,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,1个耳机接口,7个,0,USB3.0x2,7.9,165mm,ABS塑料；SGCC钢材,496x218x468mm,≤35cm,4个,5个,280冷排，240冷排，120冷排,5-8kg,黑色,酷冷至尊（CoolerMaster）,上置,,酷冷至尊旗舰店,不支持RGB光控,,,,,,
25,九州风神CL500,100014680322,9.65kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×2、Audio×1、Mic×1,8.4,165mm,ABS塑料；钢化玻璃；SPCC钢材,473mm×226mm×519mm(L×W×H),≤33cm,0,6个,,,,,,,,,,,,,,
26,酷冷至尊TD500MESH白,100017052122,8.15kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,1个耳机接口；1个麦克风接口,4个,0,2xUSB3.2Gen1(USB3.0)、3.5mm耳机接口x1、3.5mm麦克风接口x1,6.95,165mm,ABS塑料；亚克力；钢化玻璃；钢；SPCC钢材,493x217x469mm,≤41cm,3个,7个,360冷排，240冷排，120冷排,5-8kg,白色,,,,,支持RGB光控,,,,,,
27,华硕GT501VC,100006254438,11.66kg,中国大陆,,,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,1个耳机接口；1个麦克风接口,1个,0,暂无,9.9,180mm,钢化玻璃,552x251x545,≤38cm,0,0个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,,,,,,,,,,
28,安钛克DA601复仇者X,100002404996,9.66kg,中国大陆,复仇者,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,HD；1个耳机接口；1个麦克风接口,4个,0,USB3.0x2，MIC/AUDIO，开关键，重启键，ARGB控制按钮,7.8,165mm,钢化玻璃；SPCC钢材,480*220*500,≤40cm,2个,7个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,,不带电源,,,,,,,,
29,航嘉（Huntkey）GS500R,54533003620,5.5kg,中国大陆,GX500R,中型机箱（中塔机箱）,玻璃侧透机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,AC97；1个耳机接口；1个麦克风接口,4个,0,"USB3.0*1,USB2.0*2",4.5KG,160mm,ABS塑料；亚克力；SPCC钢材,400*200*450mm,≤35cm,0,8个,240冷排，120冷排,5-8kg,,航嘉（HuntKey）,下置,,惠宏电脑组件专营店,,,,,,,
30,先马鲁班1,100008792814,8.34kg,中国大陆,鲁班1,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD；1个耳机接口；1个麦克风接口,4个,0,USB2.0*2、USB3.0*1、HD音频接口,约7.1kg,165mm,钢化玻璃；SPCC钢材,458（长）*215（宽）*482（高）mm,≤38cm,0,6个,360冷排，280冷排，240冷排，120冷排,5-8kg,黑色,先马（SAMA）,下置,,,,,,,,,
31,九州风神魔方110,100008847237,6.66kg,中国大陆,,小型机箱,玻璃侧透机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×2、Audio/Mic×1,6.2kg,165mm,ABS塑料；钢化玻璃；SPCC钢材,400×225×431mm,≤32cm,0,6个,280冷排，240冷排，120冷排,5-8kg,,,下置,标准电源（ATX）,,不支持RGB光控,,,没有静音棉,,,
32,华硕GT501VC,100006254438,11.66kg,中国大陆,,,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,1个耳机接口；1个麦克风接口,1个,0,暂无,9.9,180mm,钢化玻璃,552x251x545,≤38cm,0,0个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,,,,,,,,,,
