,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
111,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
112,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
113,利民（Thermalright）银风ArrowT8,59464852414,零度世家电脑配件专营店,1.49kg,银风ArrowT8,中国大陆,,,银风ArrowT8,33.98~90.96CFM,,158mm,4pin,L155mmxW103mmxH158mm,风冷,600~1800RPM±10%,12V,风冷散热器,宽度大于180mm,,,19~25dBA,,,,,
114,京天（KOTIN）12CMRGB风扇光圈/减震/静音/组装电脑主机机箱散热风扇神光同步九州魔影套装（3个120RGB5V）,10020937413180,京天DIY电脑旗舰店,200.00g,,,,,风冷,800,塑料,5mm,4pin,120X120X25mm,风冷,500±200-1500±10%RPM,12v,,,,,,,,,,
115,,1239166056,,,,,,,,,,,,,,,,,,,,,,,,,
116,,39874002530,,,,,,,,,,,,,,,,,,,,,,,,,
117,,100008488684,,,,,,,,,,,,,,,,,,,,,,,,,
118,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
119,,100008488684,,,,,,,,,,,,,,,,,,,,,,,,,
120,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
121,,,,,,,,,赛普雷sp-4120冷山,,,其他,USB供电,散热器尺寸,风冷,风扇转速（RPM）,电压,,,,,,,,,,
122,Thermaltake（Tt）CL-P081-AL12SW-A,100010443867,,0.68kg,,中国大陆,4热管,,水星S400,55,,25mm,4pin,127x75x158mm,风冷,800~1600RPM,12V,风冷散热器,,,TT,36,INTELLGA1200，INTEL1151（九代），AMDAM4,,,,
123,京天（KOTIN）定制12cm机箱风扇/台式电脑主机静音LED炫光/机箱散热风扇冰魄蓝双光圈,67048883433,京天DIY电脑旗舰店,0.888kg,,,,,120,800,阻燃,22mm,4pin,120*25,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,,,
124,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
125,金河田风行6热管CPU散热器,100015334482,,1.17kg,,中国大陆,6热管,,风行6热管CPU散热器,,铝,158mm,4pin,142*102*158mm,风冷,1800RPM（PWM）±10%,12VDC,风冷散热器,宽度大于180mm,ARGB,金河田,,INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,Intel平台散热器,穿片工艺,热管直触
126,九州风神冰凌MINI旗舰版,302653,,320.00g,,中国大陆,2热管,,冰凌MINI旗舰版,,铝,112mm,3pin,119X75X112mm,风冷,2200±10%RPM,12VDC,风冷散热器,ITX机箱,无光,九州风神DEEPCOOL,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
127,游戏悍将游戏悍将凛冬G400CPU散热器,100014049414,,0.68kg,,中国大陆,,,G400,,铝，铜,155mm,4pin,120mm,风冷,1600RPM±10%,12DC,,,RGB,,,INTEL1151（九代），INTEL1151（八代），AMDFM2＋,,,,
128,利民（Thermalright）银风ArrowT8,59464852414,零度世家电脑配件专营店,1.49kg,银风ArrowT8,中国大陆,,,银风ArrowT8,33.98~90.96CFM,,158mm,4pin,L155mmxW103mmxH158mm,风冷,600~1800RPM±10%,12V,风冷散热器,宽度大于180mm,,,19~25dBA,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,,,,,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,,宽度大于210mm,RGB,九州风神DEEPCOOL,,,塑料,,穿片工艺,热管直触
131,京天（KOTIN）定制12cm机箱风扇/台式电脑主机静音LED炫光/机箱散热风扇冰魄蓝双光圈,67048883433,京天DIY电脑旗舰店,0.888kg,,,,,120,800,阻燃,22mm,4pin,120*25,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,,,
132,京天（KOTIN）定制12cm机箱风扇/台式电脑主机静音LED炫光/机箱散热风扇冰魄蓝双光圈,67048883433,京天DIY电脑旗舰店,0.888kg,,,,,120,800,阻燃,22mm,4pin,120*25,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,航嘉（Huntkey）冷静王系列/MVP系列,10023399939751,航嘉（Huntkey）旗舰店,0.86kg,冷静王系列/MVP系列,中国大陆,6热管,,冷静王系列/MVP系列,72.85,铜,158mm,4pin,122*78*158mm,风冷,1000-1800,12V,风冷散热器,,RGB,其它,23,,,,穿片工艺,热管直触
135,金河田银狐120水冷排台式电离一体式水冷CPU散热器,100002841401,,1.1kg,,中国大陆,无热管,120冷排,金河田银狐120一体式水冷CPU散热器,,铝,27mm,4pin,153*120*27mm,水冷,1800RPM（PWM）±10%,12VDC,一体式水冷散热器,宽度大于180mm,RGB,金河田,,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
136,酷冷至尊(CoolerMaster)冰神B120/B240/B360一体式水冷CPU散热器冰神B240ARGB白色240冷排/多平台,10026119525798,星辰聚官方旗舰店,100.00g,,,无热管,240冷排,冰神G120240360RGB,看参数,其它,14mm,4pin,120x120x25mm,水冷,650~1800RPM±5%,12VDC,,,ARGB,,,,,,,
137,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
138,九州风神玄冰400,598827,,0.73kg,,中国大陆,4热管,,玄冰400,56.5CFM,纯铜热管，铝鳍片,155mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC,风冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,≤27.8dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
139,航嘉（Huntkey）冷静王系列/MVP系列,10023399939751,航嘉（Huntkey）旗舰店,0.86kg,冷静王系列/MVP系列,中国大陆,6热管,,冷静王系列/MVP系列,72.85,铜,158mm,4pin,122*78*158mm,风冷,1000-1800,12V,风冷散热器,,RGB,其它,23,,,,穿片工艺,热管直触
140,酷冷至尊MLW-D24M-A16PA-C1,100005187628,,1.775kg,,中国大陆,,240冷排,,,铝,27mm,4pin,277x119.6x27mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,,INTELLGA2066，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,,,,
141,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
142,酷冷至尊(CoolerMaster)冰神B120/B240/B360一体式水冷CPU散热器冰神B240ARGB白色240冷排/多平台,10026119525798,星辰聚官方旗舰店,100.00g,,,无热管,240冷排,冰神G120240360RGB,看参数,其它,14mm,4pin,120x120x25mm,水冷,650~1800RPM±5%,12VDC,,,ARGB,,,,,,,
143,酷冷至尊(CoolerMaster)冰神B120/B240/B360一体式水冷CPU散热器冰神B240ARGB白色240冷排/多平台,10026119525798,星辰聚官方旗舰店,100.00g,,,无热管,240冷排,冰神G120240360RGB,看参数,其它,14mm,4pin,120x120x25mm,水冷,650~1800RPM±5%,12VDC,,,ARGB,,,,,,,
144,酷冷至尊(CoolerMaster)冰神B120/B240/B360一体式水冷CPU散热器冰神B240ARGB白色240冷排/多平台,10026119525798,星辰聚官方旗舰店,100.00g,,,无热管,240冷排,冰神G120240360RGB,看参数,其它,14mm,4pin,120x120x25mm,水冷,650~1800RPM±5%,12VDC,,,ARGB,,,,,,,
145,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
146,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
147,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
148,ThermalrightFS140,100010498068,,1.91kg,,中国大陆,4热管,,,77.8,铝,160mm,4pin,140*121*158mm,风冷,1500,12V,风冷散热器,宽度大于210mm,无光,,25.6,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,,回流焊工艺,铜底焊接
149,华硕ROGRYUJINII360,100021394448,,2.88kg,,中国大陆,无热管,360冷排,ROGRYUJINII360,71.6,铝,81mm,4pin,121x394x27mm,水冷,450~2000RPM?+/-10%,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMD其他，INTEL其他，AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋，整合CPU主板,塑料,,,
150,乔思伯（JONSBO）塔式CPU散热器英特尔/AMD平台散热器CR-1000彩色版,69848862082,网际世通办公专营店,0.81kg,,,4热管,,CR-1000,,铝,158mm,4pin,158mm(高)*76mm(宽)*128mm(长),风冷,700RPM-1800RPM±10%,12V,风冷散热器,宽度大于210mm,,,,,金属,,穿片工艺,热管直触
151,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,乔思伯光影TW4-360COLOR,100013928258,,2.1kg,,中国大陆,无热管,360冷排,,26.1-66.81CFM(each),铝,48mm,4pin,394mm*119.2*27.5mm,水冷,700-1500RPM(±10%),12VDC,一体式水冷散热器,,RGB,,20.55-37.2Dba(max),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,,
154,乔思伯（JONSBO）CR-2000,62042523725,零度世家电脑配件专营店,0.65kg,CR-2000,中国大陆,,,CR-2000,,,159mm,4pin,120*134*159mm,风冷,700-1500,12V,,宽度大于180mm,,,,,,,,
155,酷冷至尊RR-T4V2-16PR-C2,2771147,,0.89kg,,中国大陆,4热管,,T400i,,4根直触热管/铝鳍片,157mm,4pin,80.5x120x157,风冷,600-1600RPM(PWM)±10%,12VDC,风冷散热器,,ARGB,,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代）,金属,,穿片工艺,热管直触
156,乔思伯（JONSBO）塔式CPU散热器英特尔/AMD平台散热器CR-12002热管（9CM风扇),69848862086,网际世通办公专营店,0.81kg,,,2热管,,CR-1000,,铝,158mm,4pin,158mm(高)*76mm(宽)*128mm(长),风冷,700RPM-1800RPM±10%,12V,风冷散热器,宽度大于210mm,,,,,金属,,穿片工艺,热管直触
157,ThermalrightFS140,100010498068,,1.91kg,,中国大陆,4热管,,,77.8,铝,160mm,4pin,140*121*158mm,风冷,1500,12V,风冷散热器,宽度大于210mm,无光,,25.6,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,,回流焊工艺,铜底焊接
158,华硕ROGRYUJINII360,100021394448,,2.88kg,,中国大陆,无热管,360冷排,ROGRYUJINII360,71.6,铝,81mm,4pin,121x394x27mm,水冷,450~2000RPM?+/-10%,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMD其他，INTEL其他，AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋，整合CPU主板,塑料,,,
159,华硕ROGRYUJINII360,100021394448,,2.88kg,,中国大陆,无热管,360冷排,ROGRYUJINII360,71.6,铝,81mm,4pin,121x394x27mm,水冷,450~2000RPM?+/-10%,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMD其他，INTEL其他，AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋，整合CPU主板,塑料,,,
160,乔思伯（JONSBO）CR-2000,62042523725,零度世家电脑配件专营店,0.65kg,CR-2000,中国大陆,,,CR-2000,,,159mm,4pin,120*134*159mm,风冷,700-1500,12V,,宽度大于180mm,,,,,,,,
161,华硕（ASUS）龙神二代,10030711817241,华硕电脑配件专卖店,2.9kg,龙神二代,中国大陆,,360冷排,龙神二代,,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,宽度大于250mm,RGB,华硕ASUS,,INTEL1151（九代）,,Intel平台散热器,,
162,九州风神堡垒360幻彩RGB,100001842652,,2.505kg,,中国大陆,,360冷排,堡垒360幻彩,,铝,71mm,4pin,402X120X27（冷排尺寸）,水冷,500-1800±10%RPM,12VDC（风扇额定电压）,一体式水冷散热器,宽度大于210mm,ARGB,九州风神DEEPCOOL,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋,金属,,,铜底焊接
163,华硕ROGSTRIXLC360RGB,100007058534,,2.63kg,,中国大陆,,360冷排,ROGSTRIXLC360RGB,,,45mm,4pin,394x122x27mm,水冷,800~2500RPM,12V,一体式水冷散热器,,RGB,华硕ASUS,,AMD其他，INTEL其他，AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋，整合CPU主板,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,航嘉（Huntkey）MVP海神X240/360,10028580961106,晨惠电脑配件专营店,3.0kg,,中国大陆,,360冷排,MVP海神X240/360,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,,8-27dBA,,,,,
167,航嘉（Huntkey）MVP海神X240/360,10028580961106,晨惠电脑配件专营店,3.0kg,,中国大陆,,360冷排,MVP海神X240/360,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,,8-27dBA,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,华硕（ASUS）ROGSTRIXLC240RGB,70606497517,,2.21kg,90RC0061-M0CAY0,,,240冷排,,,,27mm,4pin,120x120x25mm,水冷,800~2500RPM+/-10%,待定,,,RGB,,,,,,,
171,noctuaNH-U12A,100005686502,,1.88kg,,中国台湾,7热管,,NH-U12A,,铝片+铜管,158mm,4pin,158x125x58mm,风冷,2000RPM,12V,风冷散热器,宽度大于210mm,无光,,,,金属,,回流焊工艺,铜底焊接
172,华硕（ASUS）龙神二代,10030711817241,华硕电脑配件专卖店,2.9kg,龙神二代,中国大陆,,360冷排,龙神二代,,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,宽度大于250mm,RGB,华硕ASUS,,INTEL1151（九代）,,Intel平台散热器,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,九州风神玄冰400,598827,,0.73kg,,中国大陆,4热管,,玄冰400,56.5CFM,纯铜热管，铝鳍片,155mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC,风冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,≤27.8dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
177,定制半岛铁盒神冰400台式主机CPU散热器炫彩灯光静音风扇CPU散热器爱国者冰锋400VPro,10033225471917,京驹工业品专营店,1.0kg,T612639533871,,,,,,,,,,,,,其他,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,九州风神玄冰300,598826,,0.574kg,,中国大陆,3热管,,玄冰300,55.50CFM,铝,136mm,4pin,121X75.5X135.7mm,风冷,900±150～1600±10%RPM,12VDC,风冷散热器,宽度大于180mm,无光,九州风神DEEPCOOL,17.8~21dB(A),INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
182,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
184,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
185,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,乔思伯CR-1200,100009910596,,400.00g,,中国大陆,2热管,,CR-1200,36CFM,铝,128mm,3pin,128mm(高)*67mm(宽)*93mm(长),风冷,2300RPM±10%,12V,风冷散热器,宽度大于180mm,RGB,,30.5Dba（MAX）,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
189,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,乔思伯CR-1000,100005445014,,0.81kg,,中国大陆,4热管,,CR-1000,,铝,158mm,4pin,158mm(高)*76mm(宽)*128mm(长),风冷,700RPM-1800RPM±10%,12V,风冷散热器,宽度大于210mm,,,,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,金属,,穿片工艺,热管直触
191,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
192,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
193,爱国者（aigo）冰塔冰魄台式电脑机箱一体式水冷CPU散热器(PWM智能温控风扇/全平台支持)冰塔T120（白色极光版）,15929867174,兆方数码专营店,1.32kg,,中国大陆,,,冰塔T120极光版,,,其他,,153*120*27MM,,PWM800~2000RPM,12V,,,,,,,,,,
194,超频三红海mini,164112,,372.00g,,中国大陆,2热管,,红海MINI,35CFM,纯铜热管/铝鳍片,113mm,3pin,117(L)x79(W)x113(H)mm,风冷,"2,200RPM±10%",12VDC,风冷散热器,ITX机箱,无光,超频三PCCOOLER,20dBA±10%,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,,,穿片工艺,热管直触
195,乔思伯CR-1000,100005445014,,0.81kg,,中国大陆,4热管,,CR-1000,,铝,158mm,4pin,158mm(高)*76mm(宽)*128mm(长),风冷,700RPM-1800RPM±10%,12V,风冷散热器,宽度大于210mm,,,,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,金属,,穿片工艺,热管直触
196,超频三大白鲨PRO,100014891782,,350.00g,,中国大陆,无热管,,大白鲨PRO,65.46CFM±10%,,70mm,3pin,125(L)*125(W)*70(H),风冷,1600RPM,12V,风冷散热器,ITX机箱,RGB,超频三PCCOOLER,29.8dbA±10%,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,,,,
197,ThermalrightTL-AS120,100004036677,,0.935kg,,中国大陆,4热管,,TL-AS120,,铝,154mm,4pin,120(L)*73(W)*154(H)mm,风冷,1500rpm±10%,12V,风冷散热器,宽度大于180mm,,,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,,穿片工艺,热管直触
198,酷冷至尊暴雪T400iA风冷台式机电脑CPU散热器温控风扇AMD115x1200T400i红光版支持英特尔i3i5i7,25056489901,PC大佬DIY电脑旗舰店,0.85kg,,中国大陆,4热管,,T400i,66.3CFM±10%,4根直触热管/铝鳍片,160mm,4pin,116x60x160mm,风冷,600~1600RPM(PWM)±10%,12VDC,风冷散热器,宽度大于180mm,单色光,酷冷CoolerMaster,9~31dBA,INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,塑料,,穿片工艺,热管直触
199,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,九州风神玄刃猎户版/射手版多平台cpu散热器12CM静音cpu风扇玄刃射手版,10027175809332,思远车品优创店,1.0kg,,,,,1,,,,,,,,,,,,,,,,其他,,
201,超频三东海X6,3311611,,1.0kg,,中国大陆,5热管,,东海X6,31.2-65.4,铝,150mm,4pin,135(L)*109(W)*150(H),风冷,风扇1：800~1600RPM±10%风扇2：1500RPM±10%,12V,风冷散热器,宽度大于180mm,单色光,超频三PCCOOLER,18-30.8,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,,穿片工艺,热管直触
202,九州风神玄冰400,598827,,0.73kg,,中国大陆,4热管,,玄冰400,56.5CFM,纯铜热管，铝鳍片,155mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC,风冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,≤27.8dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
203,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
204,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
205,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
207,酷冷至尊夜鹰多平台CPU散热器,849714,,250.00g,,中国大陆,无热管,,夜鹰,,"铝,塑胶",49mm,3pin,133.6x102x50mm,风冷,2500rpm±10%,12V,风冷散热器,ITX机箱,,酷冷CoolerMaster,,INTEL1151（九代），INTEL1151（八代），INTEL其他，AMDAM4，AMDFM2＋,,,,
208,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器大霜塔RGB版,10026467956422,武极电脑DIY旗舰店,1.0kg,,,,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,126X136X159mm,风冷,900±150至1500±10%RPM,12VDC,风冷散热器,宽度大于210mm,,九州风神DEEPCOOL,17.8~30dB(A),,,,,
209,航嘉（Huntkey）GX122系列,10021742678657,晨惠电脑配件专营店,500.00g,,,,,GX122,,,25mm,4pin,120*25mm,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,机箱风扇,,
210,超频三超频三散热器CPU优惠套装,100022467668,,1.2kg,,中国大陆,4热管,其他规格冷排,,38.4-81,,157mm,4pin,130*76*157,风冷,800-1600,12V,风冷散热器,宽度大于180mm,无光,,18-28.6,INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,穿片工艺,热管直触
211,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
212,乔思伯（JONSBO）CR-2000,62042523725,零度世家电脑配件专营店,0.65kg,CR-2000,中国大陆,,,CR-2000,,,159mm,4pin,120*134*159mm,风冷,700-1500,12V,,宽度大于180mm,,,,,,,,
213,酷冷至尊MLW-D24M-A16PA-C1,100005187628,,1.775kg,,中国大陆,,240冷排,,,铝,其他,4pin,277x119.6x27mm,水冷,650-1600RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
