,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
66,酷冷至尊暴雪T400iA风冷台式机电脑CPU散热器温控风扇AMD115x1200T400i红光版支持英特尔i3i5i7,25056489901,PC大佬DIY电脑旗舰店,0.85kg,,中国大陆,4热管,,T400i,66.3CFM±10%,4根直触热管/铝鳍片,160mm,4pin,116x60x160mm,风冷,600~1600RPM(PWM)±10%,12VDC,风冷散热器,宽度大于180mm,单光,酷冷CoolerMaster,9~31dBA,INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,塑料,,穿片工艺,热管直触
67,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
68,,100012158313,,,,,,,,,,,,,,,,,,,,,,,,,
69,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
70,赛普雷（SOPLAY）幻灵SP-D2407R5,10032048403582,禾睿数码专营店,3.5kg,,中国大陆,,,,,,其他,4pin,270×120×27mm,风冷,600~1600RPM±10%,12VDC,一体式水冷散热器,,,,,,,,,
71,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
72,赛普雷（SOPLAY）幻灵SP-D2407R5,10032048403582,禾睿数码专营店,3.5kg,,中国大陆,,,,,,其他,4pin,270×120×27mm,风冷,600~1600RPM±10%,12VDC,一体式水冷散热器,,,,,,,,,
73,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
74,酷冷至尊MLW-D24M-A16PA-C1,100005187628,,1.775kg,,中国大陆,,240冷排,,,铝,27mm,4pin,277x119.6x27mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,,INTELLGA2066，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,,,,
75,乔思伯SHADOW?光影240,100003859323,,1.88kg,,中国大陆,无热管,240冷排,SHADOW?光影240幻彩版二代,30.5-71CFM(each),铝,46mm,4pin,276.8X119.2X27.2mm,水冷,800-1800±10%RPM,12V,一体式水冷散热器,,ARGB,其它,≤35.7dB(A)(max),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,金属,,,
76,,1239166056,,,,,,,,,,,,,,,,,,,,,,,,,
77,鑫谷冰酷240S多彩版,100002748626,,1.63kg,,中国大陆,,240冷排,冰酷240S多彩版,,铝,47mm,4pin,270x120x25mm,水冷,800-1800RPM（±10%）,12VDC,一体式水冷散热器,,RGB,,,,塑料,Intel平台散热器,,铜底焊接
